uMH01FxjlMk,개발자의 M1 Max 맥북프로 6개월 사용기,노마드 코더 Nomad Coders,2022-07-17,1

3DuyJf_XPtM,자바스크립트 종말각?! HTML에서 파이썬 실행하는 PyScript 등장!,노마드 코더 Nomad Coders,2022-05-22,1

N-81mS2vldI,이 영상을 보고나면 REST API 를 못쓰게 됩니다.,노마드 코더 Nomad Coders,2022-05-15,1

IeLWSKq0xIQ,개발자 전공필수? 객체지향 개념정리 10분컷.,노마드 코더 Nomad Coders,2022-05-08,1

8YIwaO6Cojw,내가 자바스크립트를 쓰지 않는 이유?,노마드 코더 Nomad Coders,2022-05-01,1

EpobdV3-Ctg,맥북 쓰면서 이 기능을 모른다고!?,노마드 코더 Nomad Coders,2022-04-24,1

j-q2T9eUPHQ,긴급 🚨 크롬! 엣지! 웨일! 유저는 무조건 알아야하는 보안사태!,노마드 코더 Nomad Coders,2022-04-03,1

7aEQLvvnQIY,연봉이 떡상한다고? 함수형 프로그래밍! 10분만에 이해하기.,노마드 코더 Nomad Coders,2022-03-20,1

ZfaPD1t92mE,40만이니까 한마디만 하겠습니다 🎙,노마드 코더 Nomad Coders,2022-03-13,1

hCYorQXrFck,세계 최대 NFT 거래소 해킹! 꼭 알아야하는 이유는?,노마드 코더 Nomad Coders,2022-02-27,1

8IqQQg13Xbc,엔비디아 떡상의 이유! CPU와 GPU의 진짜 차이점은?!,노마드 코더 Nomad Coders,2022-02-23,1

zp8WEFv4vsQ,연봉 앞자리가 바뀌는 개발자 필수 언어,노마드 코더 Nomad Coders,2022-02-20,1

olz_mEIlQUU,이딴게.. 머신러닝…?,노마드 코더 Nomad Coders,2022-02-16,1

w1dlmOjDLX8,C가 주옥같은 개발자들 보세요. Rust 10분 정리!,노마드 코더 Nomad Coders,2022-02-06,1

EMOlLLTAZMs,개발자 99%가 모르는 신박한 HTML 태그 5개!,노마드 코더 Nomad Coders,2022-01-16,1

TxSr1cZyXJg,M1 칩의 장점과 단점? 개발자가 설명해드림. 10분컷.,노마드 코더 Nomad Coders,2021-10-24,1

0lUJvVqSEkY,5분 만에 로컬 PC를 외부에 공유하는 방법!,노마드 코더 Nomad Coders,2021-09-16,1

dq1RN4UQYM4,아이폰 유저는 무조건 알아야하는 신규 OS 업데이트!,노마드 코더 Nomad Coders,2021-08-29,1

nNdj0cE1BSw,2021년 개발 트렌드는 과연 어떻게 변화했나?,노마드 코더 Nomad Coders,2021-08-08,1

HraOg7W3VAM,개발자라면 꼭 알아야할 Hash Table 의 모든 것!,노마드 코더 Nomad Coders,2021-07-18,1

Bor_CRWEIXo,"어? 재밌네? 정렬 알고리즘, 한방에 이해하기!",노마드 코더 Nomad Coders,2021-07-04,1

BEVnxbxBqi8,개발자라면 이제는 알아야하는 Big O 설명해드림. 10분컷.,노마드 코더 Nomad Coders,2021-06-27,1

WjIlVlmmNqs,검색 알고리즘? 기초개념 잡아드림. 10분 순삭.,노마드 코더 Nomad Coders,2021-06-13,1

NFETSCJON2M,Array 배열 기초개념? 10분안에 정리해줌!,노마드 코더 Nomad Coders,2021-06-06,1

9TyyMtlk5i4,개발자라면 &quot;무조건&quot; 알고리즘 공부를 해야할까?,노마드 코더 Nomad Coders,2021-05-30,1

